"Population estimates, quarterly" 1 2 3 4
"Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2021-06-17"
"Geography: Canada, Province or territory"

"Geography","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada","34,714,222","34,836,008","34,883,119","34,958,216","35,082,954","35,211,866","35,249,639","35,323,533","35,437,435","35,559,047","35,575,187","35,611,271","35,702,908","35,822,894","35,871,136","35,970,303","36,109,487","36,258,726","36,314,099","36,398,040","36,545,295","36,721,242","36,798,442","36,898,490","37,065,178","37,249,240","37,324,239","37,417,155","37,593,384","37,802,043","37,899,277","37,979,854","38,005,238","38,008,005"
"Newfoundland and Labrador","526,345","527,180","527,248","527,313","527,114","528,117","528,242","527,498","528,159","528,461","528,361","528,063","528,117","528,696","528,800","529,063","529,426","529,900","529,347","528,544","528,249","528,288","527,544","526,395","525,560","525,765","524,883","524,126","523,476","524,137","523,631","522,994","522,103","520,961"
"Prince Edward Island","144,530","144,520","144,175","143,948","144,094","144,103","143,996","143,984","144,283","144,538","144,368","144,259","144,546","144,894","145,202","145,784","146,969","147,936","148,181","148,860","150,402","151,376","151,516","152,039","153,396","155,129","155,244","155,833","157,262","158,334","158,629","159,249","159,625","159,747"
"Nova Scotia","943,635","943,341","942,598","941,230","940,434","940,105","939,867","938,913","938,545","938,972","938,296","936,271","936,525","938,320","938,690","940,382","942,790","946,030","945,943","947,384","950,108","953,683","953,838","954,618","958,406","963,309","963,890","965,287","969,747","975,231","975,898","977,043","979,351","979,089"
"New Brunswick","758,378","758,673","758,298","758,132","758,544","758,670","759,018","758,876","758,976","759,524","759,617","758,948","758,842","759,778","760,580","762,289","763,350","764,844","764,617","764,813","766,621","767,935","768,005","768,522","770,301","772,524","772,748","773,805","776,868","780,154","780,040","781,024","781,476","781,282"
"Quebec","8,061,101","8,078,388","8,082,771","8,090,916","8,110,880","8,124,660","8,125,478","8,132,425","8,150,183","8,165,447","8,163,132","8,163,063","8,175,272","8,190,014","8,193,624","8,204,085","8,225,950","8,249,692","8,257,450","8,272,894","8,302,063","8,336,460","8,350,601","8,367,551","8,401,738","8,433,888","8,446,906","8,465,271","8,501,703","8,540,429","8,556,650","8,572,054","8,574,571","8,575,812"
"Ontario","13,390,632","13,434,943","13,444,704","13,467,829","13,510,781","13,558,528","13,562,583","13,582,747","13,617,553","13,661,314","13,657,737","13,669,860","13,707,118","13,757,688","13,773,629","13,816,545","13,875,394","13,946,431","13,971,785","14,006,386","14,070,141","14,150,783","14,186,830","14,235,643","14,308,697","14,393,683","14,428,712","14,467,162","14,544,718","14,637,880","14,689,075","14,723,497","14,734,014","14,733,506"
"Manitoba","1,249,975","1,254,178","1,257,940","1,260,834","1,264,620","1,268,428","1,271,562","1,274,407","1,279,014","1,283,366","1,286,453","1,288,094","1,292,227","1,297,329","1,302,544","1,307,689","1,314,139","1,319,911","1,324,129","1,328,412","1,334,790","1,340,565","1,344,418","1,347,055","1,352,825","1,357,879","1,361,632","1,364,223","1,369,540","1,373,574","1,377,004","1,378,818","1,379,263","1,379,469"
"Saskatchewan","1,083,755","1,088,959","1,091,547","1,094,390","1,099,736","1,103,730","1,106,374","1,109,631","1,112,979","1,116,203","1,118,181","1,118,806","1,120,967","1,124,919","1,127,773","1,131,147","1,135,987","1,140,690","1,143,313","1,146,218","1,150,331","1,154,755","1,156,659","1,158,451","1,161,767","1,165,938","1,168,461","1,169,286","1,172,302","1,176,272","1,179,154","1,179,618","1,178,681","1,177,782"
"Alberta","3,874,548","3,900,333","3,920,499","3,946,798","3,981,011","4,010,903","4,029,951","4,054,280","4,083,648","4,106,056","4,116,047","4,128,300","4,144,491","4,159,519","4,169,830","4,181,765","4,196,061","4,208,958","4,217,855","4,227,969","4,241,100","4,258,195","4,268,853","4,281,706","4,298,275","4,317,453","4,330,698","4,343,951","4,361,694","4,384,968","4,402,045","4,417,006","4,421,876","4,428,082"
"British Columbia","4,566,769","4,590,545","4,598,255","4,611,648","4,630,077","4,658,875","4,666,788","4,684,490","4,707,103","4,737,725","4,745,468","4,757,759","4,776,388","4,802,955","4,811,465","4,832,155","4,859,250","4,884,002","4,890,848","4,905,210","4,929,384","4,956,550","4,967,421","4,983,183","5,010,476","5,039,661","5,046,576","5,063,527","5,090,955","5,125,659","5,131,575","5,142,404","5,147,712","5,145,785"
"Yukon","36,234","36,425","36,373","36,313","36,521","36,448","36,393","36,682","37,137","37,272","37,168","37,372","37,690","37,751","37,770","38,042","38,547","38,750","38,848","39,202","39,669","39,823","40,006","40,200","40,613","40,761","40,947","41,040","41,477","41,668","41,731","41,980","42,052","42,165"
"Northwest Territories 5 (map)","43,648","43,681","43,737","43,867","43,805","43,756","43,800","43,794","43,884","44,064","44,140","44,193","44,237","44,428","44,507","44,590","44,649","44,542","44,607","44,813","44,891","45,126","45,066","45,320","44,981","44,964","45,194","45,118","45,028","45,100","45,119","45,201","45,161","45,037"
"Nunavut 5 (map)","34,672","34,842","34,974","34,998","35,337","35,543","35,587","35,806","35,971","36,105","36,219","36,283","36,488","36,603","36,722","36,767","36,975","37,040","37,176","37,335","37,546","37,703","37,685","37,807","38,143","38,286","38,348","38,526","38,614","38,637","38,726","38,966","39,353","39,288"

Symbol legend:

Footnotes:
1,Postcensal estimates are based on the 2016 Census counts adjusted for census net undercoverage (CNU) (including adjustment for incompletely enumerated Indian reserves (IEIR)) and the components of demographic growth that occurred since that census. Intercensal estimates are produced using counts from two consecutive censuses adjusted for CNU (including (IEIR) and postcensal estimates.
2,Quarterly population estimates: Quarter I = January 1; Quarter II = April 1; Quarter III = July 1; Quarter IV = October 1.
3,"Estimates are final intercensal and unadjusted for census net undercoverage prior to July 1, 1971. Estimates are final intercensal from July 1, 1971 to April 1, 2016, final postcensal from July 1, 2016 to July 1, 2018, updated postcensal from October 1, 2018 to April 1, 2020 and preliminary postcensal from July 1, 2020."
4,"The population growth, which is used to calculate population estimates, is comprised of the natural growth (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
5,"Prior to July 1, 1991, only population estimates for Northwest Territories and Nunavut combined are available."

"How to cite: Statistics Canada. Table 17-10-0009-01 Population estimates, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000901
DOI: https://doi.org/10.25318/1710000901-eng
