,Geography,Time,DelinquencyRate,AverageMortgageAmount,PopulationSize
0,Newfoundland,2012Q3,0.24,188732,526345
1,Prince Edward Island,2012Q3,0.57,140279,144530
2,Nova Scotia,2012Q3,0.53,174688,943635
3,New Brunswick,2012Q3,0.63,133390,758378
4,Québec,2012Q3,0.33,159661,8061101
5,Ontario,2012Q3,0.31,247455,13390632
6,Manitoba,2012Q3,0.25,188298,1249975
7,Saskatchewan,2012Q3,0.37,217945,1083755
8,Alberta,2012Q3,0.6,282371,3874548
9,British Columbia,2012Q3,0.42,305427,4566769
10,Newfoundland,2012Q4,0.22,185794,527180
11,Prince Edward Island,2012Q4,0.5,138415,144520
12,Nova Scotia,2012Q4,0.53,160046,943341
13,New Brunswick,2012Q4,0.63,126138,758673
14,Québec,2012Q4,0.33,153413,8078388
15,Ontario,2012Q4,0.31,235667,13434943
16,Manitoba,2012Q4,0.27,181097,1254178
17,Saskatchewan,2012Q4,0.37,213126,1088959
18,Alberta,2012Q4,0.55,277555,3900333
19,British Columbia,2012Q4,0.42,289864,4590545
20,Newfoundland,2013Q1,0.25,189098,527248
21,Prince Edward Island,2013Q1,0.55,137162,144175
22,Nova Scotia,2013Q1,0.55,158806,942598
23,New Brunswick,2013Q1,0.65,124645,758298
24,Québec,2013Q1,0.35,153909,8082771
25,Ontario,2013Q1,0.31,233122,13444704
26,Manitoba,2013Q1,0.28,177560,1257940
27,Saskatchewan,2013Q1,0.36,206354,1091547
28,Alberta,2013Q1,0.52,277158,3920499
29,British Columbia,2013Q1,0.43,286652,4598255
30,Newfoundland,2013Q2,0.19,181331,527313
31,Prince Edward Island,2013Q2,0.47,126763,143948
32,Nova Scotia,2013Q2,0.56,159945,941230
33,New Brunswick,2013Q2,0.6,122572,758132
34,Québec,2013Q2,0.34,155016,8090916
35,Ontario,2013Q2,0.29,230770,13467829
36,Manitoba,2013Q2,0.26,177517,1260834
37,Saskatchewan,2013Q2,0.34,211979,1094390
38,Alberta,2013Q2,0.47,278516,3946798
39,British Columbia,2013Q2,0.43,290928,4611648
40,Newfoundland,2013Q3,0.2,191818,527114
41,Prince Edward Island,2013Q3,0.56,139506,144094
42,Nova Scotia,2013Q3,0.58,166426,940434
43,New Brunswick,2013Q3,0.61,131542,758544
44,Québec,2013Q3,0.33,160147,8110880
45,Ontario,2013Q3,0.28,249054,13510781
46,Manitoba,2013Q3,0.28,192732,1264620
47,Saskatchewan,2013Q3,0.3,224868,1099736
48,Alberta,2013Q3,0.45,289263,3981011
49,British Columbia,2013Q3,0.42,303663,4630077
50,Newfoundland,2013Q4,0.22,193100,528117
51,Prince Edward Island,2013Q4,0.58,141453,144103
52,Nova Scotia,2013Q4,0.62,160189,940105
53,New Brunswick,2013Q4,0.68,128155,758670
54,Québec,2013Q4,0.35,155512,8124660
55,Ontario,2013Q4,0.28,244060,13558528
56,Manitoba,2013Q4,0.28,189570,1268428
57,Saskatchewan,2013Q4,0.32,225414,1103730
58,Alberta,2013Q4,0.43,284928,4010903
59,British Columbia,2013Q4,0.43,305256,4658875
60,Newfoundland,2014Q1,0.23,195479,528242
61,Prince Edward Island,2014Q1,0.6,141141,143996
62,Nova Scotia,2014Q1,0.65,161383,939867
63,New Brunswick,2014Q1,0.72,127766,759018
64,Québec,2014Q1,0.37,156424,8125478
65,Ontario,2014Q1,0.29,244077,13562583
66,Manitoba,2014Q1,0.28,188107,1271562
67,Saskatchewan,2014Q1,0.35,226559,1106374
68,Alberta,2014Q1,0.42,291926,4029951
69,British Columbia,2014Q1,0.43,309374,4666788
70,Newfoundland,2014Q2,0.25,192856,527498
71,Prince Edward Island,2014Q2,0.6,137427,143984
72,Nova Scotia,2014Q2,0.65,157664,938913
73,New Brunswick,2014Q2,0.67,124221,758876
74,Québec,2014Q2,0.36,160165,8132425
75,Ontario,2014Q2,0.27,240828,13582747
76,Manitoba,2014Q2,0.25,184554,1274407
77,Saskatchewan,2014Q2,0.31,218781,1109631
78,Alberta,2014Q2,0.37,290722,4054280
79,British Columbia,2014Q2,0.4,305138,4684490
80,Newfoundland,2014Q3,0.26,199560,528159
81,Prince Edward Island,2014Q3,0.56,143320,144283
82,Nova Scotia,2014Q3,0.67,172827,938545
83,New Brunswick,2014Q3,0.72,135592,758976
84,Québec,2014Q3,0.37,166426,8150183
85,Ontario,2014Q3,0.27,262838,13617553
86,Manitoba,2014Q3,0.24,200051,1279014
87,Saskatchewan,2014Q3,0.32,231768,1112979
88,Alberta,2014Q3,0.34,304374,4083648
89,British Columbia,2014Q3,0.4,321625,4707103
90,Newfoundland,2014Q4,0.28,200310,528461
91,Prince Edward Island,2014Q4,0.57,141232,144538
